PROCESS	SENT_ID	SENTENCE	ARG_ID	START_IDX	END_IDX	SPAN	ROLE
acceleration	415	application acceleration is the process of speeding the performance and delivery of applications with network componentry that leverages a variety of caching,...	0	7	7	speeding	A2
asexual_reproduction	104	asexual reproduction is the process of reproducing cells or organisms without the union of separate individuals.	0	7	7	reproducing	A2
asexual_reproduction	207	asexual reproduction is the creation of offspring from one parent.	0	5	5	creation	A2
asexual_reproduction	217	asexual reproduction is the production of offspring by virgin birth or by vegetative reproduction: that is, reproduction without sexual fertilization of eggs (see...	0	5	5	production	A2
asexual_reproduction	272	asexual reproduction is the formation of an individual from a single parent without the use of sex cells and does not undergo processes such as meoisis.	0	5	5	formation	A2
asexual_reproduction	303	asexual reproduction is the formation of new individuals from the cell(s) of a single parent.	0	5	5	formation	A2
boiling	1	boiling is the transition of a substance from the liquid to gaseous state of matter.	0	4	4	transition	A2
boiling	28	this appears to be a paradox (possibly a catch-22): boiling is the release of bubbles of vapour, but bubbles of vapour can never form.	1	1	1	this	NONE
boiling	28	this appears to be a paradox (possibly a catch-22): boiling is the release of bubbles of vapour, but bubbles of vapour can never form.	4	2	2	appears	NONE
boiling	28	this appears to be a paradox (possibly a catch-22): boiling is the release of bubbles of vapour, but bubbles of vapour can never form.	0	16	16	release	A2
boiling	28	this appears to be a paradox (possibly a catch-22): boiling is the release of bubbles of vapour, but bubbles of vapour can never form.	3	27	27	never	NONE
boiling	28	this appears to be a paradox (possibly a catch-22): boiling is the release of bubbles of vapour, but bubbles of vapour can never form.	2	28	28	form	NONE
boiling	34	boiling causes pectins to set, which creates a permanently hazy beverage.	0	3	13	pectins to set , which creates a permanently hazy beverage .	A3
boiling	99	the purpose of boiling is to concentrate the wort to the desired strength, to develop color in the beer, to sterilize it & destroy all the enzymes, to coagulate certain...	0	7	33	concentrate the wort to the desired strength , to develop color in the beer , to sterilize it & destroy all the enzymes , to coagulate certain	A3
boiling	127	boiling is the process of applying heat to water until the temperature reaches about 100c.	0	6	6	applying	A2
boiling	141	the boiling helps to get the membrane off the shell and kills any pathogens.	2	1	2	the boiling	NONE
boiling	141	the boiling helps to get the membrane off the shell and kills any pathogens.	4	3	3	helps	NONE
boiling	141	the boiling helps to get the membrane off the shell and kills any pathogens.	1	5	14	get the membrane off the shell and kills any pathogens	A3
boiling	146	boiling is the formation of vapor bubbles at the heating surface.	0	4	4	formation	A2
boiling	166	boiling helps to inactivate any organisms that may be present in the water, and bottled water provides safety by not using the system at all.	0	4	13	inactivate any organisms that may be present in the water	A3
boiling	185	the purpose of boiling is to release the fat in the fish and prevent bacteriological problems further on in the process.	0	7	21	release the fat in the fish and prevent bacteriological problems further on in the process	A3
boiling	212	boiling helps to kill a great deal of the bacteria that is found in lakes and rivers.	0	4	17	kill a great deal of the bacteria that is found in lakes and rivers	A3
boiling	231	the boiling helps to break up the cells in the preparation, and denatures proteins.	0	5	11	break up the cells in the preparation	A3
boiling	256	boiling causes the carrots to lose some flavor and nutrients, by leeching them out through the surface.	0	3	19	the carrots to lose some flavor and nutrients , by leeching them out through the surface .	A3
boiling	284	boiling helps to enhance the colour and the shelf life of turmeric.	1	1	1	boiling	NONE
boiling	284	boiling helps to enhance the colour and the shelf life of turmeric.	0	2	13	helps to enhance the colour and the shelf life of turmeric .	A3
boiling	320	boiling helps to open up the shell valves, and then they pick out the meat.	0	4	8	open up the shell valves	A3
boiling	352	i personally believe the boiling helps to release, or breakdown some of the nutrients in the mix.	0	8	8	release	A3
boiling	372	key difference: boiling is the process of bringing water to its boiling point, boiling for 3-5 minutes or more to kill any bacteria, viruses and germs present in the...	0	9	9	bringing	A2
boiling	440	this boiling causes the air inside to be forced out and replaced with hot water vapor.	2	1	2	this boiling	NONE
boiling	440	this boiling causes the air inside to be forced out and replaced with hot water vapor.	4	3	3	causes	NONE
boiling	440	this boiling causes the air inside to be forced out and replaced with hot water vapor.	0	4	17	the air inside to be forced out and replaced with hot water vapor .	A3
boiling	445	the purpose of boiling is to maintain the aroma of foods, make their digestion easier and be safe in terms of their nutritional value.	0	7	11	maintain the aroma of foods	A3
boiling	466	boiling helps to keep bacteria and viruses out of the pigs.	0	4	11	keep bacteria and viruses out of the pigs	A3
boiling	491	boiling helps to kill all bacteria in order to eliminate...	0	4	10	kill all bacteria in order to eliminate	A3
boiling	501	stocks turn cloudy when boiled because boiling causes the fat to emulsify.	0	9	12	the fat to emulsify	A3
boiling	533	definition: boiling is the cooking of foods in a liquid either at or brought to boiling point.	4	3	3	boiling	NONE
boiling	533	definition: boiling is the cooking of foods in a liquid either at or brought to boiling point.	0	6	6	cooking	A2
boiling	533	definition: boiling is the cooking of foods in a liquid either at or brought to boiling point.	2	15	15	brought	NONE
boiling	533	definition: boiling is the cooking of foods in a liquid either at or brought to boiling point.	1	18	18	point	NONE
boiling	536	part of the purpose of boiling is to ensure the sanitation of the wort.	0	9	14	ensure the sanitation of the wort	A3
breathing	5	breathing is the process by which air is drawn into the body and waste gases are...	0	9	9	drawn	A2
breathing	54	breathing is the process of taking air from the atmosphere and inhaling it into the lungs.	2	6	6	taking	A2
breathing	54	breathing is the process of taking air from the atmosphere and inhaling it into the lungs.	5	9	10	the atmosphere	NONE
breathing	54	breathing is the process of taking air from the atmosphere and inhaling it into the lungs.	1	12	12	inhaling	A2
breathing	54	breathing is the process of taking air from the atmosphere and inhaling it into the lungs.	3	13	13	it	NONE
breathing	54	breathing is the process of taking air from the atmosphere and inhaling it into the lungs.	0	15	16	the lungs	A0
breathing	121	breathing is the process of taking in this vital energy and removing the waste products out of our body and mind.	4	6	7	taking in	A2
breathing	121	breathing is the process of taking in this vital energy and removing the waste products out of our body and mind.	0	8	10	this vital energy	A1
breathing	121	breathing is the process of taking in this vital energy and removing the waste products out of our body and mind.	3	12	12	removing	A2
breathing	121	breathing is the process of taking in this vital energy and removing the waste products out of our body and mind.	2	13	15	the waste products	A3
breathing	121	breathing is the process of taking in this vital energy and removing the waste products out of our body and mind.	6	17	21	of our body and mind	NONE
breathing	175	this difficulty in breathing occurs due to reduced pumping ability of the heart causing the return of the blood from the heart to the lungs.	0	8	25	reduced pumping ability of the heart causing the return of the blood from the heart to the lungs	A1
breathing	254	deeper breathing occurs due to the stretching of the torso allowing for better circulation, resulting in less fatigue.	0	6	19	the stretching of the torso allowing for better circulation , resulting in less fatigue	A1
breathing	264	the work of breathing occurs due to increased rigidity of the conducting tubules, changes in smooth muscle structure, and increased thickness of the mucosal...	0	8	13	increased rigidity of the conducting tubules	A1
breathing	301	trouble breathing occurs due to the weakening of associated muscles, although it is more common when treating the neck bands.	0	6	10	the weakening of associated muscles	A1
breathing	319	did you know that co2 is necessary for breathing to...	0	5	5	co2	A1
breathing	328	breathing is the process by which air is drawn into the chest through the nose and mouth ...	1	7	7	air	A1
breathing	328	breathing is the process by which air is drawn into the chest through the nose and mouth ...	2	9	9	drawn	A2
breathing	328	breathing is the process by which air is drawn into the chest through the nose and mouth ...	3	10	12	into the chest	NONE
breathing	328	breathing is the process by which air is drawn into the chest through the nose and mouth ...	0	13	15	through the nose	A1
breathing	341	breathing is the process of taking in oxygen to fuel your activity, and there are right and wrong ways to do it.	0	6	7	taking in	A2
breathing	343	breathing is the process of drawing air into the lungs and then expelling it again.	0	6	6	drawing	A2
breathing	392	breathing is the process of getting oxygen into the lungs and carbon dioxide out of the lungs.	1	6	6	getting	A2
breathing	392	breathing is the process of getting oxygen into the lungs and carbon dioxide out of the lungs.	0	9	13	the lungs and carbon dioxide	A1
breathing	404	just as oxygen is necessary for breathing, music is important to live.	0	3	3	oxygen	A1
breathing	412	breathing occurs due to geometry changes about the three-coordinate agi metal centers, leading to a multi-step guest adsorption.	1	1	1	breathing	NONE
breathing	412	breathing occurs due to geometry changes about the three-coordinate agi metal centers, leading to a multi-step guest adsorption.	3	2	2	occurs	NONE
breathing	412	breathing occurs due to geometry changes about the three-coordinate agi metal centers, leading to a multi-step guest adsorption.	0	5	12	geometry changes about the three-coordinate agi metal centers	A1
breathing	412	breathing occurs due to geometry changes about the three-coordinate agi metal centers, leading to a multi-step guest adsorption.	2	14	14	leading	NONE
breathing	412	breathing occurs due to geometry changes about the three-coordinate agi metal centers, leading to a multi-step guest adsorption.	6	16	19	a multi-step guest adsorption	NONE
breathing	428	breathing is the process by which animals bring air or water into contact with their.	1	8	8	bring	A2
breathing	428	breathing is the process by which animals bring air or water into contact with their.	0	9	11	air or water	A1
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	3	1	1	breathing	A2
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	4	2	2	occurs	NONE
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	8	5	5	repeated	NONE
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	1	8	13	a large muscle called the diaphragm	A1
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	6	11	11	called	NONE
breathing	467	breathing occurs due to repeated contractions of a large muscle called the diaphragm.	2	12	13	the diaphragm	A1
breathing	478	breathing is the process of transporting oxygen from the atmosphere into the body and the process of eliminating carbon dioxide from the body.	3	6	6	transporting	A2
breathing	478	breathing is the process of transporting oxygen from the atmosphere into the body and the process of eliminating carbon dioxide from the body.	5	7	10	oxygen from the atmosphere	NONE
breathing	478	breathing is the process of transporting oxygen from the atmosphere into the body and the process of eliminating carbon dioxide from the body.	1	12	13	the body	A0
breathing	478	breathing is the process of transporting oxygen from the atmosphere into the body and the process of eliminating carbon dioxide from the body.	2	18	18	eliminating	A2
breathing	478	breathing is the process of transporting oxygen from the atmosphere into the body and the process of eliminating carbon dioxide from the body.	0	19	20	carbon dioxide	A3
breathing	487	breathing is the process by which oxygen in the air is brought into the lungs and into close contact with the blood, which absorbs it and carries it to all parts of the...	0	12	12	brought	A2
breathing	500	breathing is the process of moving air into and out of the lungs.	0	6	6	moving	A2
breathing	520	breathing is the process of inhaling air through the nose or mouth.	0	9	12	the nose or mouth	A1
camouflage	15	this camouflage helps to protect fish from predators.	2	1	2	this camouflage	A2
camouflage	15	this camouflage helps to protect fish from predators.	5	3	3	helps	NONE
camouflage	15	this camouflage helps to protect fish from predators.	3	5	5	protect	A2
camouflage	15	this camouflage helps to protect fish from predators.	1	6	6	fish	A0
camouflage	15	this camouflage helps to protect fish from predators.	4	8	8	predators	NONE
camouflage	41	the purpose of camouflage is to provide concealment of military...	2	7	7	provide	NONE
camouflage	41	the purpose of camouflage is to provide concealment of military...	0	8	10	concealment of military	A3
camouflage	47	camouflage occurs when there is a strong similarity in color between background and foreground; so foreground pixels are classified as...	0	6	14	a strong similarity in color between background and foreground	A1
camouflage	52	camouflage is the use of any combination of materials, coloration, or illumination for concealment, either by making animals or objects hard to see (crypsis),...	0	4	4	use	A2
camouflage	62	this is a moth, it's camouflage causes it to look like a leaf...	2	1	1	this	NONE
camouflage	62	this is a moth, it's camouflage causes it to look like a leaf...	1	8	8	camouflage	A2
camouflage	62	this is a moth, it's camouflage causes it to look like a leaf...	3	9	9	causes	NONE
camouflage	62	this is a moth, it's camouflage causes it to look like a leaf...	5	12	12	look	NONE
camouflage	62	this is a moth, it's camouflage causes it to look like a leaf...	6	14	15	a leaf	NONE
camouflage	113	the purpose of camouflage is to remain undetected when stalking or hiding, but...	0	7	12	remain undetected when stalking or hiding	A3
camouflage	158	this camouflage helps to protect them from predators.	0	5	8	protect them from predators	A3
camouflage	176	this winter camouflage is caused by physiological changes triggered by the shortening day length in autumn.	0	7	16	physiological changes triggered by the shortening day length in autumn	A1
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	2	1	2	aggressive camouflage	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	5	3	3	occurs	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	0	5	6	a predator	A0
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	8	7	7	uses	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	7	8	11	its ability to blend	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	4	12	12	in	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	3	14	14	take	NONE
camouflage	202	aggressive camouflage occurs when a predator uses its ability to blend in to take prey by surprise.	1	15	15	prey	NONE
camouflage	238	camouflage is the method which allows an otherwise visible organism or object to remain indiscernible from the surrounding environment.	0	4	4	method	A2
camouflage	244	camouflage causes disorientation, leading perception to drift from common sentiment.	0	3	12	disorientation , leading perception to drift from common sentiment .	A3
camouflage	314	camouflage occurs when there is a strong similarity in color between background and foreground, so foreground pixels are classified as background.	0	6	14	a strong similarity in color between background and foreground	A1
camouflage	377	the purpose of camouflage is to provide concealment.	0	7	8	provide concealment	A3
camouflage	437	the superb camouflage causes one to easily overlook this fish.	0	5	11	one to easily overlook this fish .	A3
camouflage	494	the purpose of camouflage is to break up the human outline and allow the hunter to become visually indistinguishable from his surroundings.	0	7	22	break up the human outline and allow the hunter to become visually indistinguishable from his surroundings	A3
camouflage	509	corrective camouflage is the process of masking physical flaws with makeup, prostheses, and artificial hair.	0	7	7	masking	A2
carbon_cycle	482	the carbon cycle is the process by which carbon moves from the atmosphere into the earth and its organisms and then back again.	0	10	10	moves	A2
chemical_change	172	an example of a chemical change is the reaction between sodium and water to produce sodium hydroxide and hydrogen.	2	9	9	reaction	A2
chemical_change	172	an example of a chemical change is the reaction between sodium and water to produce sodium hydroxide and hydrogen.	1	15	15	produce	A2
chemical_change	172	an example of a chemical change is the reaction between sodium and water to produce sodium hydroxide and hydrogen.	0	16	19	sodium hydroxide and hydrogen	A3
chemical_change	271	the initiating event for chemical change is the cysl46 sulfur (sy") nucleophilic attack on c6 of the nucleotide pyrimidine ring.	0	2	2	initiating	NONE
chemical_change	285	another sign of a chemical change is the release or gain of energy by an object.	0	9	9	release	A2
chemical_change	368	introduction: chemical change is the process of forming a new substance or substances from...	1	9	9	forming	A2
chemical_change	368	introduction: chemical change is the process of forming a new substance or substances from...	0	10	12	a new substance	A3
chemical_change	449	the criterion for a chemical change is the production of one or more new substances.	0	2	2	criterion	A2
chemical_change	469	monitoring ocean chemical change is the promise of mounting chemical sensors on self-reporting ocean floats and gliders.	1	1	1	monitoring	NONE
chemical_change	469	monitoring ocean chemical change is the promise of mounting chemical sensors on self-reporting ocean floats and gliders.	0	2	4	ocean chemical change	A2
chemical_change	469	monitoring ocean chemical change is the promise of mounting chemical sensors on self-reporting ocean floats and gliders.	2	9	9	mounting	NONE
chemical_reaction	44	to show how to determine which reactant in a chemical reaction is the limiting reactant.	2	2	2	show	NONE
chemical_reaction	44	to show how to determine which reactant in a chemical reaction is the limiting reactant.	6	5	5	determine	NONE
chemical_reaction	44	to show how to determine which reactant in a chemical reaction is the limiting reactant.	1	14	14	limiting	NONE
chemical_reaction	193	a chemical reaction is the change of a substance into a new one that has a different chemical identity.	1	6	6	change	A2
chemical_reaction	193	a chemical reaction is the change of a substance into a new one that has a different chemical identity.	2	15	15	has	NONE
chemical_reaction	193	a chemical reaction is the change of a substance into a new one that has a different chemical identity.	0	16	19	a different chemical identity	A3
chemosynthesis	82	chemosynthesis is the process of converting inorganic material into food using chemical energy.	2	6	6	converting	A2
chemosynthesis	82	chemosynthesis is the process of converting inorganic material into food using chemical energy.	1	7	8	inorganic material	A0
chemosynthesis	82	chemosynthesis is the process of converting inorganic material into food using chemical energy.	4	11	11	using	NONE
chemosynthesis	82	chemosynthesis is the process of converting inorganic material into food using chemical energy.	0	12	13	chemical energy	A1
chemosynthesis	532	chemosynthesis- chemosynthesis is the ability for creatures to use chemicals from the earth's interior for energy in the place of sunlight.	0	6	6	ability	A2
combustion	8	combustion is caused by the water used in fire suppression.	0	5	10	the water used in fire suppression	A1
combustion	24	combustion is caused by a reaction between two chemicals, which is set off...	2	1	1	combustion	NONE
combustion	24	combustion is caused by a reaction between two chemicals, which is set off...	5	3	3	caused	NONE
combustion	24	combustion is caused by a reaction between two chemicals, which is set off...	3	13	13	set	NONE
combustion	24	combustion is caused by a reaction between two chemicals, which is set off...	4	14	14	off	NONE
combustion	29	combustion occurs when fossil fuels, such as natural gas, fuel oil, coal or gasoline, react with oxygen.	2	1	1	combustion	A2
combustion	29	combustion occurs when fossil fuels, such as natural gas, fuel oil, coal or gasoline, react with oxygen.	5	2	2	occurs	NONE
combustion	29	combustion occurs when fossil fuels, such as natural gas, fuel oil, coal or gasoline, react with oxygen.	1	4	17	fossil fuels , such as natural gas , fuel oil , coal or gasoline	A0
combustion	29	combustion occurs when fossil fuels, such as natural gas, fuel oil, coal or gasoline, react with oxygen.	3	19	19	react	NONE
combustion	29	combustion occurs when fossil fuels, such as natural gas, fuel oil, coal or gasoline, react with oxygen.	0	21	21	oxygen	A1
combustion	30	combustion is the conversion of a substance called a fuel into chemical compounds known as products of combustion by combination with an oxidizer.	0	4	4	conversion	A2
combustion	32	combustion is the reaction of substances with oxygen, with the evolution of heat and light.	0	4	4	reaction	A2
combustion	37	loop-charged combustion helps to distribute fuel/air mixture more evenly, for better combustion, performance and fuel economy.	2	1	2	loop-charged combustion	NONE
combustion	37	loop-charged combustion helps to distribute fuel/air mixture more evenly, for better combustion, performance and fuel economy.	3	3	3	helps	NONE
combustion	37	loop-charged combustion helps to distribute fuel/air mixture more evenly, for better combustion, performance and fuel economy.	4	5	5	distribute	NONE
combustion	37	loop-charged combustion helps to distribute fuel/air mixture more evenly, for better combustion, performance and fuel economy.	1	6	9	fuel/air mixture more evenly	NONE
combustion	37	loop-charged combustion helps to distribute fuel/air mixture more evenly, for better combustion, performance and fuel economy.	6	12	18	better combustion , performance and fuel economy	NONE
combustion	45	oxy combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	2	7	7	burning	A2
combustion	45	oxy combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	1	8	9	a fuel	A0
combustion	45	oxy combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	4	10	10	using	NONE
combustion	45	oxy combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	0	11	15	pure oxygen instead of air	A1
combustion	45	oxy combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	6	17	19	the primary oxidant	NONE
combustion	46	combustion combustion is the process by which fire converts fuel and oxygen into energy.	0	9	9	converts	A2
combustion	64	combustion is caused by exothermic chemical reactions and may be accompanied by a flame.	0	5	7	exothermic chemical reactions	A1
combustion	91	in diesel engines the combustion is caused by the high temperature that results from the compression process.	0	9	17	the high temperature that results from the compression process	A1
combustion	142	combustion helps to improve efficiency and power.	2	1	1	combustion	NONE
combustion	142	combustion helps to improve efficiency and power.	3	2	2	helps	NONE
combustion	142	combustion helps to improve efficiency and power.	4	4	4	improve	NONE
combustion	142	combustion helps to improve efficiency and power.	5	5	7	efficiency and power	NONE
combustion	160	in situ combustion is the process of injecting air into a reservoir to oxidize a small portion of the hydrocarbons present, to generate heat and pressure.	0	8	8	injecting	A2
combustion	200	oxy-fuel combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	3	7	7	burning	A2
combustion	200	oxy-fuel combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	2	8	9	a fuel	A0
combustion	200	oxy-fuel combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	5	10	10	using	NONE
combustion	200	oxy-fuel combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	0	11	15	pure oxygen instead of air	A1
combustion	200	oxy-fuel combustion is the process of burning a fuel using pure oxygen instead of air as the primary oxidant.	1	17	19	the primary oxidant	A1
combustion	204	the purpose of combustion is to produce heat which is radiated from the...	4	1	1	the	NONE
combustion	204	the purpose of combustion is to produce heat which is radiated from the...	3	7	7	produce	A2
combustion	204	the purpose of combustion is to produce heat which is radiated from the...	2	11	11	radiated	A2
combustion	206	video: spontaneous combustion causes barn fire.	0	6	7	barn fire	A3
combustion	210	burning or combustion is the process of uniting a fuel or combustible with the oxygen in the air.	0	8	8	uniting	A2
combustion	248	spontaneous combustion causes an internal fire that starts and proliferates deep within piles of materials.	3	1	2	spontaneous combustion	NONE
combustion	248	spontaneous combustion causes an internal fire that starts and proliferates deep within piles of materials.	4	3	3	causes	NONE
combustion	248	spontaneous combustion causes an internal fire that starts and proliferates deep within piles of materials.	2	8	8	starts	NONE
combustion	248	spontaneous combustion causes an internal fire that starts and proliferates deep within piles of materials.	5	11	15	deep within piles of materials	NONE
combustion	261	which combustion occurs due to global autoignition of the fuel and air mixture.	0	6	13	global autoignition of the fuel and air mixture	A1
combustion	280	in this type of engine, combustion occurs due to auto-ignition of a lean or highly diluted fuelair mixture providing high efficiency and low levels...	0	11	25	auto-ignition of a lean or highly diluted fuelair mixture providing high efficiency and low levels	A1
combustion	287	combustion occurs due to combustion of gaseous fuel air charge, which is associated with lower rates of the exothermic combustion reactions result in lower...	0	5	22	combustion of gaseous fuel air charge , which is associated with lower rates of the exothermic combustion reactions	A1
combustion	311	fire chief: combustion causes local plant fire.	1	1	4	fire chief : combustion	NONE
combustion	311	fire chief: combustion causes local plant fire.	2	5	5	causes	NONE
combustion	311	fire chief: combustion causes local plant fire.	0	6	8	local plant fire	A3
combustion	334	indicate that the delayed combustion is caused by the decreased charge temperature with later di injection.	0	9	16	the decreased charge temperature with later di injection	A1
combustion	345	proper combustion helps to reduce emissions as the fuel is burned in its entirety.	0	5	14	reduce emissions as the fuel is burned in its entirety	A3
combustion	351	the poor combustion is caused by oil pressure change.	0	7	9	oil pressure change	A1
combustion	374	the chemical element oxygen is necessary for combustion to occur.	0	1	4	the chemical element oxygen	A1
combustion	379	combustion is the conversion of primary chemical...	0	4	4	conversion	A2
combustion	420	combustion is the process of burning something.	1	6	6	burning	A2
combustion	420	combustion is the process of burning something.	0	7	7	something	A0
combustion	454	the purpose of combustion is to efficiently consume fuel to produce heat.	0	8	12	consume fuel to produce heat	A3
combustion	460	the purpose of combustion is to rotate the rotor around the chamber.	0	7	12	rotate the rotor around the chamber	A3
combustion	493	the configuration of multistage combustion helps to save energy.	0	8	9	save energy	A3
combustion	510	combustion is the process of burning an organic compound in oxygen to produce...	1	6	6	burning	A2
combustion	510	combustion is the process of burning an organic compound in oxygen to produce...	0	7	9	an organic compound	A0
combustion	524	spontaneous coal combustion is caused by oxidation of both coal and sulphide minerals within it.	0	7	15	oxidation of both coal and sulphide minerals within it	A1
condensation	20	condensation is caused by things being cold, so what you basically need to find out is why the windows are cold.	0	5	7	things being cold	A1
condensation	84	condensation occurs when warmer moist air comes in contact with cold surfaces such as framing members, windows and other accessories, or the colder region...	0	8	26	in contact with cold surfaces such as framing members , windows and other accessories , or the colder region	A1
condensation	144	more condensation occurs when there is more water vapor in the air and/or when glass surfaces become colder.	4	1	2	more condensation	NONE
condensation	144	more condensation occurs when there is more water vapor in the air and/or when glass surfaces become colder.	5	3	3	occurs	NONE
condensation	144	more condensation occurs when there is more water vapor in the air and/or when glass surfaces become colder.	6	15	16	glass surfaces	NONE
condensation	144	more condensation occurs when there is more water vapor in the air and/or when glass surfaces become colder.	3	17	17	become	NONE
condensation	144	more condensation occurs when there is more water vapor in the air and/or when glass surfaces become colder.	2	18	18	colder	NONE
condensation	154	condensation occurs when saturated air moves upward.	0	5	7	air moves upward	A1
condensation	164	as condensation is caused by excess water vapour in the air, minimising activities that produce water vapour...	3	2	2	condensation	NONE
condensation	164	as condensation is caused by excess water vapour in the air, minimising activities that produce water vapour...	5	4	4	caused	NONE
condensation	164	as condensation is caused by excess water vapour in the air, minimising activities that produce water vapour...	1	7	7	water	A0
condensation	164	as condensation is caused by excess water vapour in the air, minimising activities that produce water vapour...	4	13	17	minimising activities that produce water	NONE
condensation	164	as condensation is caused by excess water vapour in the air, minimising activities that produce water vapour...	2	16	16	produce	A2
condensation	169	condensation occurs when warm moist air meets a cold surface.	0	8	10	a cold surface	A1
condensation	179	condensation is caused by airborne moisture, minute particles of water suspended in the air, created by every day activity inside the home.	0	5	6	airborne moisture	A1
condensation	187	the primary cause for condensation is the interior surface temperatures dropping below the dew point of the...	1	11	11	dropping	NONE
condensation	195	the water condensation helps to entrap hydrophilic molecules and very fine...	0	6	11	entrap hydrophilic molecules and very fine	A3
condensation	224	evaporation condensation condensation is the process by which water vapor changes into water.	0	9	9	water	A3
condensation	245	condensation is the process by which a gas turns into a liquid.	1	7	8	a gas	A0
condensation	245	condensation is the process by which a gas turns into a liquid.	2	9	9	turns	A2
condensation	245	condensation is the process by which a gas turns into a liquid.	0	11	12	a liquid	A3
condensation	251	condensation is caused by moisture in the air.	0	5	8	moisture in the air	A1
condensation	274	it is possible to demonstrate, on theoretical grounds, that the presence of nuclei is necessary for condensation.	0	12	15	the presence of nuclei	A1
condensation	293	definition condensation is the process of packing the porcelain powder particles together and of removing the liquid binder.	1	7	7	packing	A2
condensation	293	definition condensation is the process of packing the porcelain powder particles together and of removing the liquid binder.	0	8	11	the porcelain powder particles	A0
condensation	294	condensation is the change of the physical state of matter from gas phase into liquid phase, and is the reverse of evaporation.	0	4	4	change	A2
condensation	307	condensation is the process by which water vapor is changed back into liquid water.	2	7	8	water vapor	NONE
condensation	307	condensation is the process by which water vapor is changed back into liquid water.	1	10	10	changed	A2
condensation	307	condensation is the process by which water vapor is changed back into liquid water.	0	13	14	liquid water	A3
condensation	312	condensation occurs when the air meets cold.	1	1	1	condensation	A2
condensation	312	condensation occurs when the air meets cold.	3	2	2	occurs	NONE
condensation	312	condensation occurs when the air meets cold.	0	4	5	the air	A0
